2025-12-14 13:51:25,597 - INFO - risk_monitor - Connected ccxt exchange 'kraken' (id=kraken, 1405 markets)
2025-12-14 13:51:28,784 - INFO - risk_monitor - Connected ccxt exchange 'bitget_spot' (id=bitget, 1396 markets)
2025-12-14 13:51:31,775 - INFO - risk_monitor - Connected ccxt exchange 'bitget_futures' (id=bitget, 1396 markets)
2025-12-14 13:51:31,775 - INFO - risk_monitor - Building dynamic trading universe from exchange markets
2025-12-14 13:51:31,776 - INFO - risk_monitor - Capping symbols for kraken from 587 to 120
2025-12-14 17:31:53,060 - INFO - risk_monitor - Risk score 70.0 (TRADE) | spreads 96.1bps | volume $407622348 | latency kraken:946ms, bitget_spot:264ms, bitget_futures:290ms
2025-12-14 17:40:22,048 - INFO - risk_monitor - Risk score 71.0 (TRADE) | spreads 92.2bps | volume $406036818 | latency kraken:949ms, bitget_spot:261ms, bitget_futures:263ms
2025-12-14 17:48:51,315 - INFO - risk_monitor - Risk score 71.0 (TRADE) | spreads 93.4bps | volume $404402865 | latency kraken:946ms, bitget_spot:258ms, bitget_futures:266ms
2025-12-14 17:57:20,994 - INFO - risk_monitor - Risk score 69.0 (TRADE_WITH_CAUTION) | spreads 89.5bps | volume $404554596 | latency kraken:948ms, bitget_spot:260ms, bitget_futures:266ms
2025-12-14 18:05:52,606 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 89.8bps | volume $405528073 | latency kraken:949ms, bitget_spot:266ms, bitget_futures:268ms
2025-12-14 18:14:25,985 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 90.0bps | volume $402858752 | latency kraken:941ms, bitget_spot:268ms, bitget_futures:270ms
2025-12-14 18:22:57,666 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 89.3bps | volume $409139104 | latency kraken:947ms, bitget_spot:270ms, bitget_futures:264ms
2025-12-14 18:31:30,577 - INFO - risk_monitor - Risk score 69.0 (TRADE_WITH_CAUTION) | spreads 105.4bps | volume $408195562 | latency kraken:941ms, bitget_spot:273ms, bitget_futures:268ms
2025-12-14 18:40:01,797 - INFO - risk_monitor - Risk score 71.0 (TRADE) | spreads 93.5bps | volume $409056795 | latency kraken:960ms, bitget_spot:267ms, bitget_futures:265ms
2025-12-14 18:48:35,302 - INFO - risk_monitor - Risk score 71.0 (TRADE) | spreads 115.2bps | volume $409524709 | latency kraken:935ms, bitget_spot:271ms, bitget_futures:269ms
2025-12-14 18:57:07,078 - INFO - risk_monitor - Risk score 70.0 (TRADE) | spreads 90.6bps | volume $410042902 | latency kraken:951ms, bitget_spot:265ms, bitget_futures:268ms
2025-12-14 19:05:40,537 - INFO - risk_monitor - Risk score 75.0 (TRADE) | spreads 89.1bps | volume $410056777 | latency kraken:941ms, bitget_spot:273ms, bitget_futures:268ms
2025-12-14 19:14:11,961 - INFO - risk_monitor - Risk score 74.0 (TRADE) | spreads 92.1bps | volume $412008640 | latency kraken:954ms, bitget_spot:266ms, bitget_futures:265ms
2025-12-14 19:22:45,245 - INFO - risk_monitor - Risk score 75.0 (TRADE) | spreads 90.4bps | volume $412060582 | latency kraken:936ms, bitget_spot:266ms, bitget_futures:272ms
2025-12-14 19:31:19,002 - INFO - risk_monitor - Risk score 70.0 (TRADE) | spreads 87.3bps | volume $411516979 | latency kraken:949ms, bitget_spot:269ms, bitget_futures:270ms
2025-12-14 19:39:50,206 - INFO - risk_monitor - Risk score 70.0 (TRADE) | spreads 96.4bps | volume $412802597 | latency kraken:950ms, bitget_spot:266ms, bitget_futures:267ms
2025-12-14 19:48:21,104 - INFO - risk_monitor - Risk score 74.0 (TRADE) | spreads 92.8bps | volume $412999381 | latency kraken:950ms, bitget_spot:265ms, bitget_futures:268ms
2025-12-14 19:56:54,045 - INFO - risk_monitor - Risk score 73.0 (TRADE) | spreads 95.6bps | volume $414974891 | latency kraken:948ms, bitget_spot:271ms, bitget_futures:266ms
2025-12-14 20:05:28,351 - INFO - risk_monitor - Risk score 74.0 (TRADE) | spreads 109.6bps | volume $415400763 | latency kraken:964ms, bitget_spot:272ms, bitget_futures:273ms
2025-12-14 20:14:01,553 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 102.3bps | volume $413786180 | latency kraken:943ms, bitget_spot:272ms, bitget_futures:266ms
2025-12-14 20:22:32,808 - INFO - risk_monitor - Risk score 67.0 (TRADE_WITH_CAUTION) | spreads 102.1bps | volume $414463007 | latency kraken:950ms, bitget_spot:267ms, bitget_futures:265ms
2025-12-14 20:31:05,314 - INFO - risk_monitor - Risk score 69.0 (TRADE_WITH_CAUTION) | spreads 96.8bps | volume $414683953 | latency kraken:936ms, bitget_spot:271ms, bitget_futures:267ms
2025-12-14 20:39:36,636 - INFO - risk_monitor - Risk score 68.0 (TRADE_WITH_CAUTION) | spreads 98.6bps | volume $414699429 | latency kraken:949ms, bitget_spot:265ms, bitget_futures:267ms
